Date,Open,High,Low,Close,Adj Close,Volume
01-11-2016,701.34,736.45,701.34,729.79,729.79,"13,05,27,000"
31-10-2016,702.64,709.29,691.68,700.97,700.97,"9,70,64,400"
30-10-2016,714.12,714.12,696.47,701.86,701.86,"10,06,65,000"
29-10-2016,690.29,720.4,690.05,714.48,714.48,"13,47,60,992"
28-10-2016,688,690.44,684.16,689.65,689.65,"8,11,45,504"
27-10-2016,678.21,688.59,678.04,688.31,688.31,"9,61,05,296"
26-10-2016,657.68,679.73,657.68,678.3,678.3,"8,88,77,104"
25-10-2016,654,664.42,653.7,657.59,657.59,"9,03,78,800"
24-10-2016,657.16,657.25,652.59,653.76,653.76,"6,22,18,200"
23-10-2016,657.62,661.13,653.89,657.07,657.07,"5,44,74,600"
22-10-2016,633.14,658.2,632.85,657.29,657.29,"7,85,56,496"
21-10-2016,630.83,634.09,630.69,632.83,632.83,"5,59,51,000"
20-10-2016,630.66,631.92,628.26,630.86,630.86,"5,69,57,300"
19-10-2016,638.13,638.87,628.01,630.52,630.52,"6,93,81,696"
18-10-2016,639.41,640.74,636,637.96,637.96,"6,55,46,700"
17-10-2016,641.82,642.33,638.66,639.19,639.19,"5,80,63,600"
16-10-2016,639.08,642.9,638.9,641.63,641.63,"4,02,98,100"
15-10-2016,640.31,642.1,637.39,638.65,638.65,"3,90,35,400"
14-10-2016,637.01,641.28,637.01,640.38,640.38,"5,81,44,600"
13-10-2016,636.03,638.83,635.03,636.79,636.79,"6,16,20,700"
12-10-2016,640.87,641.34,635.97,636.19,636.19,"9,23,70,200"
11-10-2016,619.24,642.08,618.5,641.07,641.07,"10,35,90,000"
10-10-2016,616.82,621.32,616.2,618.99,618.99,"6,74,81,104"
09-10-2016,619.17,619.2,616.61,616.75,616.75,"3,92,43,400"
08-10-2016,617.34,619.85,617.34,619.11,619.11,"4,23,45,900"
07-10-2016,612.61,617.91,611.82,617.12,617.12,"6,40,71,400"
06-10-2016,612.47,613.82,611.47,613.02,613.02,"5,68,12,100"
05-10-2016,610.22,613.81,609.62,612.51,612.51,"6,80,77,504"
04-10-2016,612.05,612.05,609.48,610.2,610.2,"4,98,01,600"
03-10-2016,610.97,612.57,610.46,612.13,612.13,"4,67,98,300"
02-10-2016,613.95,614.01,609.68,610.89,610.89,"3,92,49,800"
01-10-2016,609.93,615.24,609.93,613.98,613.98,"5,63,57,000"
30-09-2016,605.72,609.73,604.14,609.73,609.73,"5,61,22,400"
29-09-2016,605.02,606.82,604.85,605.69,605.69,"5,56,58,600"
28-09-2016,606.24,606.59,604.61,604.73,604.73,"4,87,22,600"
27-09-2016,608.02,608.25,604.11,606.17,606.17,"4,94,22,400"
26-09-2016,600.81,608.14,600.35,608.04,608.04,"5,91,53,800"
25-09-2016,602.75,603.38,599.71,600.83,600.83,"3,39,77,800"
24-09-2016,602.96,604.58,602.04,602.63,602.63,"3,53,59,500"
23-09-2016,596.2,603.21,595.79,602.84,602.84,"5,10,67,000"
22-09-2016,597.28,598.49,596.21,596.3,596.3,"6,70,85,300"
21-09-2016,603.59,603.59,595.88,597.15,597.15,"8,27,76,200"
20-09-2016,609.25,609.53,607.94,608.31,608.31,"7,27,10,896"
19-09-2016,609.87,610.93,608.27,609.23,609.23,"5,47,96,400"
18-09-2016,606.28,610.16,605.86,609.87,609.87,"4,86,79,400"
17-09-2016,607.22,607.86,605.19,605.98,605.98,"3,71,40,300"
16-09-2016,607.25,609.26,606.73,606.97,606.97,"6,49,63,400"
15-09-2016,610.59,611.09,607.16,607.16,607.16,"5,94,64,600"
14-09-2016,608.84,611.95,608.41,610.68,610.68,"4,78,77,700"
13-09-2016,608.03,611.19,606.92,609.24,609.24,"8,69,20,600"
12-09-2016,607.01,608.46,605.41,608.24,608.24,"7,28,12,304"
11-09-2016,623.42,628.82,600.51,606.72,606.72,"7,36,10,800"
10-09-2016,622.93,625.09,622.4,623.51,623.51,"4,50,16,800"
09-09-2016,626.35,626.83,620.26,622.86,622.86,"6,45,50,200"
08-09-2016,614.64,628.77,613.84,626.32,626.32,"8,67,13,000"
07-09-2016,610.57,614.54,608.51,614.54,614.54,"7,50,32,400"
06-09-2016,606.51,610.83,605.09,610.44,610.44,"7,85,29,104"
05-09-2016,608.99,609.05,602.24,606.59,606.59,"8,24,46,800"
04-09-2016,598.59,611.84,596.85,608.63,608.63,"9,79,42,896"
03-09-2016,575.55,599.5,574.06,598.21,598.21,"15,90,14,000"
02-09-2016,572.41,575.64,570.81,575.54,575.54,"7,99,10,800"
01-09-2016,575.55,576.31,571.81,572.3,572.3,"7,69,23,400"
31-08-2016,577.59,577.86,573.64,575.47,575.47,"7,58,40,896"
30-08-2016,574.11,578.36,574.11,577.5,577.5,"7,03,42,400"
29-08-2016,574.07,576.28,573.47,574.11,574.11,"11,03,98,000"
28-08-2016,569.83,574.04,569.74,573.91,573.91,"8,63,01,600"
27-08-2016,579.45,579.84,568.63,569.95,569.95,"5,96,98,300"
26-08-2016,577.75,580.62,576.86,579.65,579.65,"4,88,56,800"
25-08-2016,580.18,580.45,575.17,577.76,577.76,"13,61,30,000"
24-08-2016,583.41,583.59,579.85,580.18,580.18,"5,63,28,200"
23-08-2016,586.77,589.47,581.63,583.41,583.41,"8,53,49,200"
22-08-2016,581.31,588.45,580.59,586.75,586.75,"7,28,44,000"
21-08-2016,581.94,584.16,580.22,581.31,581.31,"3,82,99,400"
20-08-2016,576.08,582.82,575.46,581.7,581.7,"4,53,01,400"
19-08-2016,574.34,578.24,574.18,575.63,575.63,"5,06,31,600"
18-08-2016,573.71,577.79,573.43,574.32,574.32,"5,98,96,600"
17-08-2016,577.76,580.89,571.43,573.22,573.22,"5,44,43,000"
16-08-2016,567.24,581.74,566.72,577.44,577.44,"5,84,05,200"
15-08-2016,570.49,573.58,563.24,567.24,567.24,"5,72,62,300"
14-08-2016,585.59,585.67,564.78,570.47,570.47,"6,08,51,100"
13-08-2016,587.36,589.77,584.98,585.59,585.59,"4,35,63,000"
12-08-2016,588.8,589.91,583.81,587.56,587.56,"6,92,18,000"
11-08-2016,592.12,597.54,589.12,589.12,589.12,"7,45,14,400"
10-08-2016,587.65,599.98,586.37,592.1,592.1,"10,29,05,000"
09-08-2016,591.04,591.09,584.79,587.8,587.8,"9,22,28,096"
08-08-2016,592.74,592.99,588.05,591.05,591.05,"6,11,94,100"
07-08-2016,587.77,597.51,586.82,592.69,592.69,"8,23,98,400"
06-08-2016,575.03,588.4,569.47,587.78,587.78,"8,07,97,296"
05-08-2016,578.28,578.28,569.98,575.04,575.04,"6,61,27,900"
04-08-2016,566.33,579.5,565.78,578.29,578.29,"12,52,92,000"
03-08-2016,548.66,573.36,541.55,566.35,566.35,"20,79,82,000"
02-08-2016,606.4,612.85,531.33,547.47,547.47,"33,09,32,992"
01-08-2016,624.6,626.12,605.88,606.27,606.27,"12,18,87,000"
31-07-2016,655.1,655.28,624.36,624.68,624.68,"11,08,18,000"
30-07-2016,657.01,658.22,654.21,655.05,655.05,"3,84,56,100"
29-07-2016,655.11,657.8,654.79,656.99,656.99,"6,07,03,500"
28-07-2016,654.49,657.59,654.49,655.03,655.03,"8,64,28,400"
27-07-2016,651.63,657.46,648.45,654.35,654.35,"14,74,60,992"
26-07-2016,654.23,656.22,645.88,651.78,651.78,"22,51,35,008"
25-07-2016,661.26,661.83,653.4,654.1,654.1,"7,81,76,496"
24-07-2016,655.41,663.11,652.79,661.28,661.28,"11,81,84,000"
23-07-2016,650.73,656.37,648.52,655.56,655.56,"6,95,32,200"
22-07-2016,664.92,666.58,646.72,650.62,650.62,"13,41,69,000"
21-07-2016,665.23,666.22,660.41,665.01,665.01,"6,04,91,800"
20-07-2016,672.81,672.93,663.36,665.68,665.68,"9,46,36,400"
19-07-2016,672.74,673.28,667.63,672.86,672.86,"6,12,03,300"
18-07-2016,679.81,681.55,668.63,673.11,673.11,"6,94,65,000"
17-07-2016,661.99,682.36,661.99,679.46,679.46,"7,44,07,904"
16-07-2016,663.78,666.46,659.33,660.77,660.77,"5,03,30,200"
15-07-2016,659.17,667.08,659.04,663.26,663.26,"8,16,73,104"
14-07-2016,652.92,662.9,652.92,658.08,658.08,"9,85,11,400"
13-07-2016,664.8,668.7,654.47,654.47,654.47,"13,14,49,000"
12-07-2016,648.28,675.26,646.78,664.55,664.55,"13,81,72,992"
11-07-2016,648.48,659.63,644.98,647.66,647.66,"10,79,10,000"
10-07-2016,650.6,652.29,641.26,649.36,649.36,"10,25,32,000"
09-07-2016,666.38,666.38,633.4,650.96,650.96,"18,05,36,000"
08-07-2016,640.69,666.71,636.47,666.52,666.52,"14,19,70,000"
07-07-2016,678.09,682.43,611.83,640.56,640.56,"25,80,91,008"
06-07-2016,670.42,681.9,670.42,677.33,677.33,"13,49,60,992"
05-07-2016,683.21,683.49,665.07,670.63,670.63,"13,04,76,000"
04-07-2016,658.8,683.66,650.51,683.66,683.66,"9,20,08,400"
03-07-2016,704.97,704.97,649.01,658.66,658.66,"12,95,12,000"
02-07-2016,676.73,703.7,676.4,703.7,703.7,"11,23,54,000"
01-07-2016,672.52,686.15,669.59,676.3,676.3,"13,44,31,008"
30-06-2016,640.59,675.4,636.61,673.34,673.34,"13,89,80,000"
29-06-2016,644.12,644.68,628.28,639.89,639.89,"14,24,56,000"
28-06-2016,658.1,659.25,637.77,647,647,"13,83,84,992"
27-06-2016,629.35,655.28,620.52,655.28,655.28,"12,21,34,000"
26-06-2016,665.93,665.98,616.93,629.37,629.37,"10,92,25,000"
25-06-2016,665.28,691.73,646.56,665.12,665.12,"12,66,56,000"
24-06-2016,625.58,681.73,625.27,665.3,665.3,"22,43,16,992"
23-06-2016,597.44,629.33,558.14,623.98,623.98,"25,34,62,000"
22-06-2016,665.91,678.67,587.48,596.12,596.12,"26,63,92,992"
21-06-2016,735.88,735.88,639.07,666.65,666.65,"30,99,44,000"
20-06-2016,763.93,764.08,732.73,737.23,737.23,"17,45,11,008"
19-06-2016,756.69,766.62,745.63,763.78,763.78,"13,61,84,992"
18-06-2016,748.76,777.99,733.93,756.23,756.23,"25,27,18,000"
17-06-2016,768.49,775.36,716.56,748.91,748.91,"36,33,20,992"
16-06-2016,696.52,773.72,696.52,766.31,766.31,"27,16,33,984"
15-06-2016,685.68,696.3,672.56,694.47,694.47,"9,92,23,800"
14-06-2016,704.5,704.5,662.8,685.56,685.56,"18,66,94,000"
13-06-2016,671.65,716,664.49,704.38,704.38,"24,32,95,008"
12-06-2016,609.68,684.84,607.04,672.78,672.78,"27,70,84,992"
11-06-2016,578.67,607.12,578.67,606.73,606.73,"8,23,57,000"
10-06-2016,575.84,579.13,573.33,577.47,577.47,"6,69,91,900"
09-06-2016,582.2,582.2,570.95,574.63,574.63,"7,13,01,000"
08-06-2016,577.17,582.84,573.13,581.65,581.65,"8,02,65,800"
07-06-2016,585.45,590.26,567.51,576.6,576.6,"10,77,70,000"
06-06-2016,574.6,586.47,574.6,585.54,585.54,"7,21,38,896"
05-06-2016,573.31,582.81,569.18,574.98,574.98,"6,88,74,096"
